80	1524	0
1	1	5.9843
2	1	1
4	1	1
5	1	1
6	1	2
7	1	2
8	1	1
9	1	1
10	1	2
11	1	2
12	1	1
13	1	2
14	1	2
15	1	1
16	1	1
17	1	1
18	1	1
19	1	2
21	1	2
22	1	2
25	1	1
27	1	2
30	1	2
31	1	2
36	1	-2
37	1	-4
38	1	-8
39	1	-2
40	1	-4
41	1	-8
45	1	-2
46	1	-4
47	1	-8
60	1	-2
61	1	-4
62	1	-8
75	1	-2
76	1	-4
77	1	-8
1	2	1
2	2	5.7658
3	2	1
5	2	1
6	2	1
7	2	2
8	2	2
9	2	1
10	2	1
11	2	2
12	2	2
13	2	1
14	2	2
15	2	2
16	2	1
18	2	1
19	2	1
20	2	2
22	2	2
23	2	2
26	2	1
28	2	2
31	2	2
32	2	2
39	2	-2
40	2	-4
41	2	-8
42	2	-2
43	2	-4
44	2	-8
48	2	-2
49	2	-4
50	2	-8
63	2	-2
64	2	-4
65	2	-8
78	2	-2
79	2	-4
80	2	-8
2	3	1
3	3	5.9913
4	3	1
5	3	2
6	3	1
7	3	1
8	3	2
9	3	2
10	3	1
11	3	1
12	3	2
13	3	1
14	3	1
15	3	2
16	3	2
17	3	2
19	3	1
20	3	1
23	3	2
24	3	2
25	3	2
27	3	1
29	3	2
32	3	2
33	3	-2
34	3	-4
35	3	-8
42	3	-2
43	3	-4
44	3	-8
51	3	-2
52	3	-4
53	3	-8
66	3	-2
67	3	-4
68	3	-8
69	3	-2
70	3	-4
71	3	-8
1	4	1
3	4	1
4	4	5.118
5	4	2
6	4	2
7	4	1
8	4	1
9	4	2
10	4	2
11	4	1
12	4	1
13	4	2
14	4	1
15	4	1
16	4	2
17	4	1
18	4	2
20	4	1
21	4	2
24	4	2
26	4	2
28	4	1
29	4	2
30	4	2
33	4	-2
34	4	-4
35	4	-8
36	4	-2
37	4	-4
38	4	-8
54	4	-2
55	4	-4
56	4	-8
57	4	-2
58	4	-4
59	4	-8
72	4	-2
73	4	-4
74	4	-8
1	5	1
2	5	1
3	5	2
4	5	2
5	5	5.9953
6	5	1
8	5	1
9	5	3
11	5	1
12	5	2
13	5	3
14	5	1
16	5	2
17	5	2
20	5	2
21	5	2
23	5	1
24	5	1
25	5	2
26	5	1
28	5	1
29	5	2
32	5	1
42	5	-2
43	5	-4
44	5	-8
45	5	-2
46	5	-4
47	5	-8
54	5	-2
55	5	-4
56	5	-8
57	5	-2
58	5	-4
59	5	-8
69	5	-2
70	5	-4
71	5	-8
1	6	2
2	6	1
3	6	1
4	6	2
5	6	1
6	6	4.0327
7	6	1
9	6	2
10	6	3
12	6	1
13	6	2
14	6	3
15	6	1
17	6	2
18	6	2
21	6	1
22	6	2
24	6	1
25	6	1
26	6	2
27	6	1
29	6	1
30	6	2
33	6	-2
34	6	-4
35	6	-8
45	6	-2
46	6	-4
47	6	-8
48	6	-2
49	6	-4
50	6	-8
60	6	-2
61	6	-4
62	6	-8
72	6	-2
73	6	-4
74	6	-8
1	7	2
2	7	2
3	7	1
4	7	1
6	7	1
7	7	4.0037
8	7	1
9	7	1
10	7	2
11	7	3
14	7	2
15	7	3
16	7	1
18	7	2
19	7	2
21	7	1
22	7	1
23	7	2
26	7	1
27	7	2
28	7	1
30	7	1
31	7	2
36	7	-2
37	7	-4
38	7	-8
48	7	-2
49	7	-4
